
the table of 2
2 Times 1 = 2
2 Times 2 = 4
2 Times 3 = 6
2 Times 4 = 8
2 Times 5 = 10
2 Times 6 = 12
2 Times 7 = 14
2 Times 8 = 16
2 Times 9 = 18
2 Times 10 = 20

the table of 3
3 Times 1 = 3
3 Times 2 = 6
3 Times 3 = 9
3 Times 4 = 12
3 Times 5 = 15
3 Times 6 = 18
3 Times 7 = 21
3 Times 8 = 24
3 Times 9 = 27
3 Times 10 = 30

the table of 4
4 Times 1 = 4
4 Times 2 = 8
4 Times 3 = 12
4 Times 4 = 16
4 Times 5 = 20
4 Times 6 = 24
4 Times 7 = 28
4 Times 8 = 32
4 Times 9 = 36
4 Times 10 = 40

the table of 5
5 Times 1 = 5
5 Times 2 = 10
5 Times 3 = 15
5 Times 4 = 20
5 Times 5 = 25
5 Times 6 = 30
5 Times 7 = 35
5 Times 8 = 40
5 Times 9 = 45
5 Times 10 = 50

the table of 6
6 Times 1 = 6
6 Times 2 = 12
6 Times 3 = 18
6 Times 4 = 24
6 Times 5 = 30
6 Times 6 = 36
6 Times 7 = 42
6 Times 8 = 48
6 Times 9 = 54
6 Times 10 = 60

the table of 7
7 Times 1 = 7
7 Times 2 = 14
7 Times 3 = 21
7 Times 4 = 28
7 Times 5 = 35
7 Times 6 = 42
7 Times 7 = 49
7 Times 8 = 56
7 Times 9 = 63
7 Times 10 = 70

the table of 8
8 Times 1 = 8
8 Times 2 = 16
8 Times 3 = 24
8 Times 4 = 32
8 Times 5 = 40
8 Times 6 = 48
8 Times 7 = 56
8 Times 8 = 64
8 Times 9 = 72
8 Times 10 = 80

the table of 9
9 Times 1 = 9
9 Times 2 = 18
9 Times 3 = 27
9 Times 4 = 36
9 Times 5 = 45
9 Times 6 = 54
9 Times 7 = 63
9 Times 8 = 72
9 Times 9 = 81
9 Times 10 = 90
